Kanji,Plain,Plain negative,Past plain,Past plain negative,Present polite,Present polite negative,Past polite,Past polite negative,Potential,Potential negative,Te,Te negative,Imperative,Imperative negative,Volitional,Volitional negative,Ba,Ba negative,Causative,Causative negative,Chau,Chau negative,Chimau,Chimau negative,I,I negative,Nasai imperative,Nasai imperative negative,Passive,Passive negative,Tara,Tara negative,Frequency ranking,Lexeme,Standard Reading (in Hiragana)
する,する,しない,した,しなかった,します,しません,しました,しません でした,できる,,して,しないで,しろ,する な,しよう,,すれば,しなければ,させる,させない,しちゃう,,しちまう,,し,,しなさい,,される,,したら,しなかったら,10.0,為る,する
いる,いる,いらない,いった,いらなかった,いります,いりません,いりました,いりません でした,いれる,いれない,いって,いらないで,いれ,いる な,いろう,,いれば,いらなければ,いらせる,いらせない,いっちゃう,,いっちまう,,いり,,いりなさい,,いられる,いられない,いったら,いらなかったら,13.0,居る,いる
ある,ある,ない,あった,なかった,あります,ありません,ありました,ありません でした,あれる,あれない,あって,ないで,あれ,ある な,あろう,,あれば,なければ,あらせる,あらせない,あっちゃう,,あっちまう,,あり,,ありなさい,,あられる,あられない,あったら,なかったら,14.0,有る,ある
いう,いう,いわない,いった,いわなかった,いいます,いいません,いいました,いいません でした,いえる,いえない,いって,いわないで,いえ,いう な,いおう,,いえば,いわなければ,いわせる,いわせない,いっちゃう,,いっちまう,,いい,,いいなさい,,いわれる,いわれない,いったら,いわなかったら,17.0,言う,いう
なる,なる,ならない,なった,ならなかった,なります,なりません,なりました,なりません でした,なれる,なれない,なって,ならないで,なれ,なる な,なろう,,なれば,ならなければ,ならせる,ならせない,なっちゃう,,なっちまう,,なり,,なりなさい,,なられる,なられない,なったら,ならなかったら,23.0,成る,なる
来る,きたる,きたらない,きたった,きたらなかった,きたります,きたりません,きたりました,きたりません でした,きたれる,きたれない,きたって,きたらないで,きたれ,きたる な,きたろう,,きたれば,きたらなければ,きたらせる,きたらせない,きたっちゃう,,きたっちまう,,きたり,,きたりなさい,,きたられる,きたられない,きたったら,きたらなかったら,38.0,来る,くる
思う,おもう,おもわない,おもった,おもわなかった,おもいます,おもいません,おもいました,おもいません でした,おもえる,おもえない,おもって,おもわないで,おもえ,おもう な,おもおう,,おもえば,おもわなければ,おもわせる,おもわせない,おもっちゃう,,おもっちまう,,おもい,,おもいなさい,,おもわれる,おもわれない,おもったら,おもわなかったら,39.0,思う,おもう
いく,いく,いかない,いった,いかなかった,いきます,いきません,いきました,いきません でした,いける,いけない,いって,いかないで,いけ,いく な,いこう,,いけば,いかなければ,いかせる,いかせない,いっちゃう,,いっちまう,,いき,,いきなさい,,いかれる,いかれない,いったら,いかなかったら,41.0,行く,いく
見る,みる,みない,みた,みなかった,みます,みません,みました,みません でした,みられる,みられない,みて,みないで,みよ,みる な,みよう,,みれば,みなければ,みさせる,みさせない,みちゃう,,みちまう,,み,,みなさい,,みられる,みられない,みたら,みなかったら,44.0,見る,みる
できる,できる,できない,できた,できなかった,できます,できません,できました,できません でした,できられる,できられない,できて,できないで,できよ,できる な,できよう,,できれば,できなければ,できさせる,できさせない,できちゃう,,できちまう,,でき,,できなさい,,できられる,できられない,できたら,できなかったら,46.0,出来る,できる
よる,よる,よらない,よった,よらなかった,よります,よりません,よりました,よりません でした,よれる,よれない,よって,よらないで,よれ,よる な,よろう,,よれば,よらなければ,よらせる,よらせない,よっちゃう,,よっちまう,,より,,よりなさい,,よられる,よられない,よったら,よらなかったら,64.0,拠る,よる
しまう,しまう,しまわない,しまった,しまわなかった,しまいます,しまいません,しまいました,しまいません でした,しまえる,しまえない,しまって,しまわないで,しまえ,しまう な,しまおう,,しまえば,しまわなければ,しまわせる,しまわせない,しまっちゃう,,しまっちまう,,しまい,,しまいなさい,,しまわれる,しまわれない,しまったら,しまわなかったら,79.0,仕舞う,しまう
わかる,わかる,わからない,わかった,わからなかった,わかります,わかりません,わかりました,わかりません でした,わかれる,わかれない,わかって,わからないで,わかれ,わかる な,わかろう,,わかれば,わからなければ,わからせる,わからせない,わかっちゃう,,わかっちまう,,わかり,,わかりなさい,,わかられる,わかられない,わかったら,わからなかったら,84.0,分かる,わかる
持つ,もつ,もたない,もった,もたなかった,もちます,もちません,もちました,もちません でした,もてる,もてない,もって,もたないで,もて,もつ な,もとう,,もてば,もたなければ,もたせる,もたせない,もっちゃう,,もっちまう,,もち,,もちなさい,,もたれる,もたれない,もったら,もたなかったら,85.0,持つ,もつ
考える,かんがえる,かんがえない,かんがえた,かんがえなかった,かんがえます,かんがえません,かんがえました,かんがえません でした,かんがえられる,かんがえられない,かんがえて,かんがえないで,かんがえよ,かんがえる な,かんがえよう,,かんがえれば,かんがえなければ,かんがえさせる,かんがえさせない,かんがえちゃう,,かんがえちまう,,かんがえ,,かんがえなさい,,かんがえられる,かんがえられない,かんがえたら,かんがえなかったら,86.0,考える,かんがえる
やる,やる,やらない,やった,やらなかった,やります,やりません,やりました,やりません でした,やれる,やれない,やって,やらないで,やれ,やる な,やろう,,やれば,やらなければ,やらせる,やらせない,やっちゃう,,やっちまう,,やり,,やりなさい,,やられる,やられない,やったら,やらなかったら,91.0,遣る,やる
出る,でる,でない,でた,でなかった,でます,でません,でました,でません でした,でられる,でられない,でて,でないで,でよ,でる な,でよう,,でれば,でなければ,でさせる,でさせない,でちゃう,,でちまう,,で,,でなさい,,でられる,でられない,でたら,でなかったら,94.0,出る,でる
つく,つく,つかない,ついた,つかなかった,つきます,つきません,つきました,つきません でした,つける,つけない,ついて,つかないで,つけ,つく な,つこう,,つけば,つかなければ,つかせる,つかせない,ついちゃう,,ついちまう,,つき,,つきなさい,,つかれる,つかれない,ついたら,つかなかったら,97.0,就く,つく
とる,とる,とらない,とった,とらなかった,とります,とりません,とりました,とりません でした,とれる,とれない,とって,とらないで,とれ,とる な,とろう,,とれば,とらなければ,とらせる,とらせない,とっちゃう,,とっちまう,,とり,,とりなさい,,とられる,とられない,とったら,とらなかったら,106.0,取る,とる
聞く,きく,きかない,きいた,きかなかった,ききます,ききません,ききました,ききません でした,きける,きけない,きいて,きかないで,きけ,きく な,きこう,,きけば,きかなければ,きかせる,きかせない,きいちゃう,,きいちまう,,きき,,ききなさい,,きかれる,きかれない,きいたら,きかなかったら,107.0,聞く,きく
知る,しる,しらない,しった,しらなかった,しります,しりません,しりました,しりません でした,しれる,しれない,しって,しらないで,しれ,しる な,しろう,,しれば,しらなければ,しらせる,しらせない,しっちゃう,,しっちまう,,しり,,しりなさい,,しられる,しられない,しったら,しらなかったら,,,
くれる,くれる,くれない,くれた,くれなかった,くれます,くれません,くれました,くれません でした,くれられる,くれられない,くれて,くれないで,くれよ,くれる な,くれよう,,くれれば,くれなければ,くれさせる,くれさせない,くれちゃう,,くれちまう,,くれ,,くれなさい,,くれられる,くれられない,くれたら,くれなかったら,113.0,知る,しる
入る,はいる,はいらない,はいった,はいらなかった,はいります,はいりません,はいりました,はいりません でした,はいれる,はいれない,はいって,はいらないで,はいれ,はいる な,はいろう,,はいれば,はいらなければ,はいらせる,はいらせない,はいっちゃう,,はいっちまう,,はいり,,はいりなさい,,はいられる,はいられない,はいったら,はいらなかったら,116.0,呉れる,くれる
使う,つかう,つかわない,つかった,つかわなかった,つかいます,つかいません,つかいました,つかいません でした,つかえる,つかえない,つかって,つかわないで,つかえ,つかう な,つかおう,,つかえば,つかわなければ,つかわせる,つかわせない,つかっちゃう,,つかっちまう,,つかい,,つかいなさい,,つかわれる,つかわれない,つかったら,つかわなかったら,120.0,入る,はいる
おく,おく,おかない,おいた,おかなかった,おきます,おきません,おきました,おきません でした,おける,おけない,おいて,おかないで,おけ,おく な,おこう,,おけば,おかなければ,おかせる,おかせない,おいちゃう,,おいちまう,,おき,,おきなさい,,おかれる,おかれない,おいたら,おかなかったら,,,
出す,だす,ださない,だした,ださなかった,だします,だしません,だしました,だしません でした,だせる,だせない,だして,ださないで,だせ,だす な,だそう,,だせば,ださなければ,ださせる,ださせない,だしちゃう,,だしちまう,,だし,,だしなさい,,だされる,だされない,だしたら,ださなかったら,122.0,使う,つかう
つくる,つくる,つくらない,つくった,つくらなかった,つくります,つくりません,つくりました,つくりません でした,つくれる,つくれない,つくって,つくらないで,つくれ,つくる な,つくろう,,つくれば,つくらなければ,つくらせる,つくらせない,つくっちゃう,,つくっちまう,,つくり,,つくりなさい,,つくられる,つくられない,つくったら,つくらなかったら,,,
行う,おこなう,おこなわない,おこなった,おこなわなかった,おこないます,おこないません,おこないました,おこないません でした,おこなえる,おこなえない,おこなって,おこなわないで,おこなえ,おこなう な,おこなおう,,おこなえば,おこなわなければ,おこなわせる,おこなわせない,おこなっちゃう,,おこなっちまう,,おこない,,おこないなさい,,おこなわれる,おこなわれない,おこなったら,おこなわなかったら,142.0,於く,おく
知れる,しれる,しれない,しれた,しれなかった,しれます,しれません,しれました,しれません でした,しれられる,しれられない,しれて,しれないで,しれよ,しれる な,しれよう,,しれれば,しれなければ,しれさせる,しれさせない,しれちゃう,,しれちまう,,しれ,,しれなさい,,しれられる,しれられない,しれたら,しれなかったら,143.0,出す,だす
書く,かく,かかない,かいた,かかなかった,かきます,かきません,かきました,かきません でした,かける,かけない,かいて,かかないで,かけ,かく な,かこう,,かけば,かかなければ,かかせる,かかせない,かいちゃう,,かいちまう,,かき,,かきなさい,,かかれる,かかれない,かいたら,かかなかったら,153.0,作る,つくる
つける,つける,つけない,つけた,つけなかった,つけます,つけません,つけました,つけません でした,つけられる,つけられない,つけて,つけないで,つけよ,つける な,つけよう,,つければ,つけなければ,つけさせる,つけさせない,つけちゃう,,つけちまう,,つけ,,つけなさい,,つけられる,つけられない,つけたら,つけなかったら,159.0,行う,おこなう
もらう,もらう,もらわない,もらった,もらわなかった,もらいます,もらいません,もらいました,もらいません でした,もらえる,もらえない,もらって,もらわないで,もらえ,もらう な,もらおう,,もらえば,もらわなければ,もらわせる,もらわせない,もらっちゃう,,もらっちまう,,もらい,,もらいなさい,,もらわれる,もらわれない,もらったら,もらわなかったら,162.0,知れる,しれる
教える,おしえる,おしえない,おしえた,おしえなかった,おしえます,おしえません,おしえました,おしえません でした,おしえられる,おしえられない,おしえて,おしえないで,おしえよ,おしえる な,おしえよう,,おしえれば,おしえなければ,おしえさせる,おしえさせない,おしえちゃう,,おしえちまう,,おしえ,,おしえなさい,,おしえられる,おしえられない,おしえたら,おしえなかったら,168.0,書く,かく
かける,かける,かけらない,かけった,かけらなかった,かけります,かけりません,かけりました,かけりません でした,かけれる,かけれない,かけって,かけらないで,かけれ,かける な,かけろう,,かければ,かけらなければ,かけらせる,かけらせない,かけっちゃう,,かけっちまう,,かけり,,かけりなさい,,かけられる,かけられない,かけったら,かけらなかったら,169.0,付ける,つける
得る,える,えない,えた,えなかった,えます,えません,えました,えません でした,えられる,えられない,えて,えないで,えよ,える な,えよう,,えれば,えなければ,えさせる,えさせない,えちゃう,,えちまう,,え,,えなさい,,えられる,えられない,えたら,えなかったら,175.0,貰う,もらう
見える,まみえる,まみえない,まみえた,まみえなかった,まみえます,まみえません,まみえました,まみえません でした,まみえられる,まみえられない,まみえて,まみえないで,まみえよ,まみえる な,まみえよう,,まみえれば,まみえなければ,まみえさせる,まみえさせない,まみえちゃう,,まみえちまう,,まみえ,,まみえなさい,,まみえられる,まみえられない,まみえたら,まみえなかったら,176.0,教える,おしえる
入れる,いれる,いれない,いれた,いれなかった,いれます,いれません,いれました,いれません でした,いれられる,いれられない,いれて,いれないで,いれよ,いれる な,いれよう,,いれれば,いれなければ,いれさせる,いれさせない,いれちゃう,,いれちまう,,いれ,,いれなさい,,いれられる,いれられない,いれたら,いれなかったら,178.0,掛ける,かける
受ける,うける,うけない,うけた,うけなかった,うけます,うけません,うけました,うけません でした,うけられる,うけられない,うけて,うけないで,うけよ,うける な,うけよう,,うければ,うけなければ,うけさせる,うけさせない,うけちゃう,,うけちまう,,うけ,,うけなさい,,うけられる,うけられない,うけたら,うけなかったら,183.0,得る,える
つく,つく,つかない,ついた,つかなかった,つきます,つきません,つきました,つきません でした,つける,つけない,ついて,つかないで,つけ,つく な,つこう,,つけば,つかなければ,つかせる,つかせない,ついちゃう,,ついちまう,,つき,,つきなさい,,つかれる,つかれない,ついたら,つかなかったら,196.0,見える,みえる
違う,たがう,たがわない,たがった,たがわなかった,たがいます,たがいません,たがいました,たがいません でした,たがえる,たがえない,たがって,たがわないで,たがえ,たがう な,たがおう,,たがえば,たがわなければ,たがわせる,たがわせない,たがっちゃう,,たがっちまう,,たがい,,たがいなさい,,たがわれる,たがわれない,たがったら,たがわなかったら,204.0,入れる,いれる
始める,はじめる,はじめない,はじめた,はじめなかった,はじめます,はじめません,はじめました,はじめません でした,はじめられる,はじめられない,はじめて,はじめないで,はじめよ,はじめる な,はじめよう,,はじめれば,はじめなければ,はじめさせる,はじめさせない,はじめちゃう,,はじめちまう,,はじめ,,はじめなさい,,はじめられる,はじめられない,はじめたら,はじめなかったら,214.0,受ける,うける
呼ぶ,よぶ,よばない,よんだ,よばなかった,よびます,よびません,よびました,よびません でした,よべる,よべない,よんで,よばないで,よべ,よぶ な,よぼう,,よべば,よばなければ,よばせる,よばせない,よんじゃう,,よんじまう,,よび,,よびなさい,,よばれる,よばれない,よんだら,よばなかったら,224.0,付く,つく
あげる,あげる,あげない,あげた,あげなかった,あげます,あげません,あげました,あげません でした,あげられる,あげられない,あげて,あげないで,あげよ,あげる な,あげよう,,あげれば,あげなければ,あげさせる,あげさせない,あげちゃう,,あげちまう,,あげ,,あげなさい,,あげられる,あげられない,あげたら,あげなかったら,232.0,違う,ちがう
すぎる,すぎる,すぎない,すぎた,すぎなかった,すぎます,すぎません,すぎました,すぎません でした,すぎられる,すぎられない,すぎて,すぎないで,すぎよ,すぎる な,すぎよう,,すぎれば,すぎなければ,すぎさせる,すぎさせない,すぎちゃう,,すぎちまう,,すぎ,,すぎなさい,,すぎられる,すぎられない,すぎたら,すぎなかったら,233.0,始める,はじめる
続ける,つづける,つづけない,つづけた,つづけなかった,つづけます,つづけません,つづけました,つづけません でした,つづけられる,つづけられない,つづけて,つづけないで,つづけよ,つづける な,つづけよう,,つづければ,つづけなければ,つづけさせる,つづけさせない,つづけちゃう,,つづけちまう,,つづけ,,つづけなさい,,つづけられる,つづけられない,つづけたら,つづけなかったら,234.0,呼ぶ,よぶ
食べる,たべる,たべない,たべた,たべなかった,たべます,たべません,たべました,たべません でした,たべられる,たべられない,たべて,たべないで,たべよ,たべる な,たべよう,,たべれば,たべなければ,たべさせる,たべさせない,たべちゃう,,たべちまう,,たべ,,たべなさい,,たべられる,たべられない,たべたら,たべなかったら,236.0,上げる,あげる
かかる,かかる,かからない,かかった,かからなかった,かかります,かかりません,かかりました,かかりません でした,かかれる,かかれない,かかって,かからないで,かかれ,かかる な,かかろう,,かかれば,かからなければ,かからせる,かからせない,かかっちゃう,,かかっちまう,,かかり,,かかりなさい,,かかられる,かかられない,かかったら,かからなかったら,243.0,過ぎる,すぎる
変わる,かわる,かわらない,かわった,かわらなかった,かわります,かわりません,かわりました,かわりません でした,かわれる,かわれない,かわって,かわらないで,かわれ,かわる な,かわろう,,かわれば,かわらなければ,かわらせる,かわらせない,かわっちゃう,,かわっちまう,,かわり,,かわりなさい,,かわられる,かわられない,かわったら,かわらなかったら,,,
読む,よむ,よまない,よんだ,よまなかった,よみます,よみません,よみました,よみません でした,よめる,よめない,よんで,よまないで,よめ,よむ な,よもう,,よめば,よまなければ,よませる,よませない,よんじゃう,,よんじまう,,よみ,,よみなさい,,よまれる,よまれない,よんだら,よまなかったら,257.0,続ける,つづける
買う,かう,かわない,かった,かわなかった,かいます,かいません,かいました,かいません でした,かえる,かえない,かって,かわないで,かえ,かう な,かおう,,かえば,かわなければ,かわせる,かわせない,かっちゃう,,かっちまう,,かい,,かいなさい,,かわれる,かわれない,かったら,かわなかったら,260.0,食べる,たべる
生きる,いきる,いきない,いきた,いきなかった,いきます,いきません,いきました,いきません でした,いきられる,いきられない,いきて,いきないで,いきよ,いきる な,いきよう,,いきれば,いきなければ,いきさせる,いきさせない,いきちゃう,,いきちまう,,いき,,いきなさい,,いきられる,いきられない,いきたら,いきなかったら,279.0,掛かる,かかる
切る,きる,きらない,きった,きらなかった,きります,きりません,きりました,きりません でした,きれる,きれない,きって,きらないで,きれ,きる な,きろう,,きれば,きらなければ,きらせる,きらせない,きっちゃう,,きっちまう,,きり,,きりなさい,,きられる,きられない,きったら,きらなかったら,283.0,変わる,かわる
立つ,たつ,たたない,たった,たたなかった,たちます,たちません,たちました,たちません でした,たてる,たてない,たって,たたないで,たて,たつ な,たとう,,たてば,たたなければ,たたせる,たたせない,たっちゃう,,たっちまう,,たち,,たちなさい,,たたれる,たたれない,たったら,たたなかったら,287.0,読む,よむ
帰る,かえる,かえらない,かえった,かえらなかった,かえります,かえりません,かえりました,かえりません でした,かえれる,かえれない,かえって,かえらないで,かえれ,かえる な,かえろう,,かえれば,かえらなければ,かえらせる,かえらせない,かえっちゃう,,かえっちまう,,かえり,,かえりなさい,,かえられる,かえられない,かえったら,かえらなかったら,291.0,買う,かう
話す,はなす,はなさない,はなした,はなさなかった,はなします,はなしません,はなしました,はなしません でした,はなせる,はなせない,はなして,はなさないで,はなせ,はなす な,はなそう,,はなせば,はなさなければ,はなさせる,はなさせない,はなしちゃう,,はなしちまう,,はなし,,はなしなさい,,はなされる,はなされない,はなしたら,はなさなかったら,296.0,生きる,いきる
飲む,のむ,のまない,のんだ,のまなかった,のみます,のみません,のみました,のみません でした,のめる,のめない,のんで,のまないで,のめ,のむ な,のもう,,のめば,のまなければ,のませる,のませない,のんじゃう,,のんじまう,,のみ,,のみなさい,,のまれる,のまれない,のんだら,のまなかったら,306.0,切る,きる
示す,しめす,しめさない,しめした,しめさなかった,しめします,しめしません,しめしました,しめしません でした,しめせる,しめせない,しめして,しめさないで,しめせ,しめす な,しめそう,,しめせば,しめさなければ,しめさせる,しめさせない,しめしちゃう,,しめしちまう,,しめし,,しめしなさい,,しめされる,しめされない,しめしたら,しめさなかったら,312.0,立つ,たつ
与える,あたえる,あたえない,あたえた,あたえなかった,あたえます,あたえません,あたえました,あたえません でした,あたえられる,あたえられない,あたえて,あたえないで,あたえよ,あたえる な,あたえよう,,あたえれば,あたえなければ,あたえさせる,あたえさせない,あたえちゃう,,あたえちまう,,あたえ,,あたえなさい,,あたえられる,あたえられない,あたえたら,あたえなかったら,323.0,帰る,かえる
いただく,いただく,いただかない,いただいた,いただかなかった,いただきます,いただきません,いただきました,いただきません でした,いただける,いただけない,いただいて,いただかないで,いただけ,いただく な,いただこう,,いただけば,いただかなければ,いただかせる,いただかせない,いただいちゃう,,いただいちまう,,いただき,,いただきなさい,,いただかれる,いただかれない,いただいたら,いただかなかったら,324.0,話す,はなす
戻る,もどる,もどらない,もどった,もどらなかった,もどります,もどりません,もどりました,もどりません でした,もどれる,もどれない,もどって,もどらないで,もどれ,もどる な,もどろう,,もどれば,もどらなければ,もどらせる,もどらせない,もどっちゃう,,もどっちまう,,もどり,,もどりなさい,,もどられる,もどられない,もどったら,もどらなかったら,336.0,飲む,のむ
開く,あく,あかない,あいた,あかなかった,あきます,あきません,あきました,あきません でした,あける,あけない,あいて,あかないで,あけ,あく な,あこう,,あけば,あかなければ,あかせる,あかせない,あいちゃう,,あいちまう,,あき,,あきなさい,,あかれる,あかれない,あいたら,あかなかったら,341.0,示す,しめす
死ぬ,しぬ,しなない,しんだ,しななかった,しにます,しにません,しにました,しにません でした,しねる,しねない,しんで,しなないで,しね,しぬ な,しのう,,しねば,しななければ,しなせる,しなせない,しんじゃう,,しんじまう,,しに,,しになさい,,しなれる,しなれない,しんだら,しななかったら,,,
従う,したがう,したがわない,したがった,したがわなかった,したがいます,したがいません,したがいました,したがいません でした,したがえる,したがえない,したがって,したがわないで,したがえ,したがう な,したがおう,,したがえば,したがわなければ,したがわせる,したがわせない,したがっちゃう,,したがっちまう,,したがい,,したがいなさい,,したがわれる,したがわれない,したがったら,したがわなかったら,347.0,与える,あたえる
やめる,やめる,やめない,やめた,やめなかった,やめます,やめません,やめました,やめません でした,やめられる,やめられない,やめて,やめないで,やめよ,やめる な,やめよう,,やめれば,やめなければ,やめさせる,やめさせない,やめちゃう,,やめちまう,,やめ,,やめなさい,,やめられる,やめられない,やめたら,やめなかったら,364.0,頂く,いただく
願う,ねがう,ねがわない,ねがった,ねがわなかった,ねがいます,ねがいません,ねがいました,ねがいません でした,ねがえる,ねがえない,ねがって,ねがわないで,ねがえ,ねがう な,ねがおう,,ねがえば,ねがわなければ,ねがわせる,ねがわせない,ねがっちゃう,,ねがっちまう,,ねがい,,ねがいなさい,,ねがわれる,ねがわれない,ねがったら,ねがわなかったら,368.0,戻る,もどる
歩く,あるく,あるかない,あるいた,あるかなかった,あるきます,あるきません,あるきました,あるきません でした,あるける,あるけない,あるいて,あるかないで,あるけ,あるく な,あるこう,,あるけば,あるかなければ,あるかせる,あるかせない,あるいちゃう,,あるいちまう,,あるき,,あるきなさい,,あるかれる,あるかれない,あるいたら,あるかなかったら,372.0,開く,ひらく
待つ,まつ,またない,まった,またなかった,まちます,まちません,まちました,まちません でした,まてる,まてない,まって,またないで,まて,まつ な,まとう,,まてば,またなければ,またせる,またせない,まっちゃう,,まっちまう,,まち,,まちなさい,,またれる,またれない,まったら,またなかったら,374.0,死ぬ,しぬ
求める,もとめる,もとめない,もとめた,もとめなかった,もとめます,もとめません,もとめました,もとめません でした,もとめられる,もとめられない,もとめて,もとめないで,もとめよ,もとめる な,もとめよう,,もとめれば,もとめなければ,もとめさせる,もとめさせない,もとめちゃう,,もとめちまう,,もとめ,,もとめなさい,,もとめられる,もとめられない,もとめたら,もとめなかったら,375.0,従う,したがう
認める,みとめる,みとめない,みとめた,みとめなかった,みとめます,みとめません,みとめました,みとめません でした,みとめられる,みとめられない,みとめて,みとめないで,みとめよ,みとめる な,みとめよう,,みとめれば,みとめなければ,みとめさせる,みとめさせない,みとめちゃう,,みとめちまう,,みとめ,,みとめなさい,,みとめられる,みとめられない,みとめたら,みとめなかったら,377.0,止める,やめる
会う,あう,あわない,あった,あわなかった,あいます,あいません,あいました,あいません でした,あえる,あえない,あって,あわないで,あえ,あう な,あおう,,あえば,あわなければ,あわせる,あわせない,あっちゃう,,あっちまう,,あい,,あいなさい,,あわれる,あわれない,あったら,あわなかったら,378.0,願う,ねがう
続く,つづく,つづかない,つづいた,つづかなかった,つづきます,つづきません,つづきました,つづきません でした,つづける,つづけない,つづいて,つづかないで,つづけ,つづく な,つづこう,,つづけば,つづかなければ,つづかせる,つづかせない,つづいちゃう,,つづいちまう,,つづき,,つづきなさい,,つづかれる,つづかれない,つづいたら,つづかなかったら,387.0,歩く,あるく
向かう,むかう,むかわない,むかった,むかわなかった,むかいます,むかいません,むかいました,むかいません でした,むかえる,むかえない,むかって,むかわないで,むかえ,むかう な,むかおう,,むかえば,むかわなければ,むかわせる,むかわせない,むかっちゃう,,むかっちまう,,むかい,,むかいなさい,,むかわれる,むかわれない,むかったら,むかわなかったら,388.0,待つ,まつ
生まれる,うまれる,うまれない,うまれた,うまれなかった,うまれます,うまれません,うまれました,うまれません でした,うまれられる,うまれられない,うまれて,うまれないで,うまれよ,うまれる な,うまれよう,,うまれれば,うまれなければ,うまれさせる,うまれさせない,うまれちゃう,,うまれちまう,,うまれ,,うまれなさい,,うまれられる,うまれられない,うまれたら,うまれなかったら,394.0,求める,もとめる
見せる,みせる,みせない,みせた,みせなかった,みせます,みせません,みせました,みせません でした,みせられる,みせられない,みせて,みせないで,みせよ,みせる な,みせよう,,みせれば,みせなければ,みせさせる,みせさせない,みせちゃう,,みせちまう,,みせ,,みせなさい,,みせられる,みせられない,みせたら,みせなかったら,416.0,認める,みとめる
当たる,あたる,あたらない,あたった,あたらなかった,あたります,あたりません,あたりました,あたりません でした,あたれる,あたれない,あたって,あたらないで,あたれ,あたる な,あたろう,,あたれば,あたらなければ,あたらせる,あたらせない,あたっちゃう,,あたっちまう,,あたり,,あたりなさい,,あたられる,あたられない,あたったら,あたらなかったら,417.0,会う,あう
終わる,おわる,おわらない,おわった,おわらなかった,おわります,おわりません,おわりました,おわりません でした,おわれる,おわれない,おわって,おわらないで,おわれ,おわる な,おわろう,,おわれば,おわらなければ,おわらせる,おわらせない,おわっちゃう,,おわっちまう,,おわり,,おわりなさい,,おわられる,おわられない,おわったら,おわらなかったら,423.0,続く,つづく
乗る,のる,のらない,のった,のらなかった,のります,のりません,のりました,のりません でした,のれる,のれない,のって,のらないで,のれ,のる な,のろう,,のれば,のらなければ,のらせる,のらせない,のっちゃう,,のっちまう,,のり,,のりなさい,,のられる,のられない,のったら,のらなかったら,435.0,向かう,むかう
残る,のこる,のこらない,のこった,のこらなかった,のこります,のこりません,のこりました,のこりません でした,のこれる,のこれない,のこって,のこらないで,のこれ,のこる な,のころう,,のこれば,のこらなければ,のこらせる,のこらせない,のこっちゃう,,のこっちまう,,のこり,,のこりなさい,,のこられる,のこられない,のこったら,のこらなかったら,437.0,生まれる,うまれる
述べる,のべる,のべない,のべた,のべなかった,のべます,のべません,のべました,のべません でした,のべられる,のべられない,のべて,のべないで,のべよ,のべる な,のべよう,,のべれば,のべなければ,のべさせる,のべさせない,のべちゃう,,のべちまう,,のべ,,のべなさい,,のべられる,のべられない,のべたら,のべなかったら,444.0,見せる,みせる
ござる,ござる,ござらない,ござった,ござらなかった,ございます,ございません,ございました,ございません でした,ござれる,ござれない,ござって,ござらないで,ござい,ござる な,ござろう,,ござれば,ござらなければ,ござらせる,ござらせない,ござっちゃう,,ござっちまう,,ござい,,ございなさい,,ござられる,ござられない,ござったら,ござらなかったら,451.0,当たる,あたる
立てる,たてる,たてない,たてた,たてなかった,たてます,たてません,たてました,たてません でした,たてられる,たてられない,たてて,たてないで,たてよ,たてる な,たてよう,,たてれば,たてなければ,たてさせる,たてさせない,たてちゃう,,たてちまう,,たて,,たてなさい,,たてられる,たてられない,たてたら,たてなかったら,452.0,終わる,おわる
答える,こたえる,こたえない,こたえた,こたえなかった,こたえます,こたえません,こたえました,こたえません でした,こたえられる,こたえられない,こたえて,こたえないで,こたえよ,こたえる な,こたえよう,,こたえれば,こたえなければ,こたえさせる,こたえさせない,こたえちゃう,,こたえちまう,,こたえ,,こたえなさい,,こたえられる,こたえられない,こたえたら,こたえなかったら,463.0,乗る,のる
働く,はたらく,はたらかない,はたらいた,はたらかなかった,はたらきます,はたらきません,はたらきました,はたらきません でした,はたらける,はたらけない,はたらいて,はたらかないで,はたらけ,はたらく な,はたらこう,,はたらけば,はたらかなければ,はたらかせる,はたらかせない,はたらいちゃう,,はたらいちまう,,はたらき,,はたらきなさい,,はたらかれる,はたらかれない,はたらいたら,はたらかなかったら,465.0,残る,のこる
送る,おくる,おくらない,おくった,おくらなかった,おくります,おくりません,おくりました,おくりません でした,おくれる,おくれない,おくって,おくらないで,おくれ,おくる な,おくろう,,おくれば,おくらなければ,おくらせる,おくらせない,おくっちゃう,,おくっちまう,,おくり,,おくりなさい,,おくられる,おくられない,おくったら,おくらなかったら,470.0,述べる,のべる
始まる,はじまる,はじまらない,はじまった,はじまらなかった,はじまります,はじまりません,はじまりました,はじまりません でした,はじまれる,はじまれない,はじまって,はじまらないで,はじまれ,はじまる な,はじまろう,,はじまれば,はじまらなければ,はじまらせる,はじまらせない,はじまっちゃう,,はじまっちまう,,はじまり,,はじまりなさい,,はじまられる,はじまられない,はじまったら,はじまらなかったら,489.0,御座る,ござる
