Kanji,Plain,Plain negative,Past plain,Past plain negative,Present polite,Present polite negative,Past polite,Past polite negative,Potential,Potential negative,Te,Te negative,Imperative,Imperative negative,Volitional,Volitional negative,Ba,Ba negative,Causative,Causative negative,Chau,Chau negative,Chimau,Chimau negative,I,I negative,Nasai imperative,Nasai imperative negative,Passive,Passive negative,Tara,Tara negative,Frequency ranking,Lexeme,Standard Reading (in Hiragana)
あきらめる,あきらめる,あきらめない,あきらめた,あきらめなかった,あきらめます,あきらめません,あきらめました,あきらめません でした,あきらめられる,あきらめられない,あきらめて,あきらめないで,あきらめよ,あきらめる な,あきらめよう,,あきらめれば,あきらめなければ,あきらめさせる,あきらめさせない,あきらめちゃう,,あきらめちまう,,あきらめ,,あきらめなさい,,あきらめられる,あきらめられない,あきらめたら,あきらめなかったら,1897.0,下ろす,おろす
訪ねる,たずねる,たずねない,たずねた,たずねなかった,たずねます,たずねません,たずねました,たずねません でした,たずねられる,たずねられない,たずねて,たずねないで,たずねよ,たずねる な,たずねよう,,たずねれば,たずねなければ,たずねさせる,たずねさせない,たずねちゃう,,たずねちまう,,たずね,,たずねなさい,,たずねられる,たずねられない,たずねたら,たずねなかったら,1900.0,広げる,ひろげる
生かす,いかす,いかさない,いかした,いかさなかった,いかします,いかしません,いかしました,いかしません でした,いかせる,いかせない,いかして,いかさないで,いかせ,いかす な,いかそう,,いかせば,いかさなければ,いかさせる,いかさせない,いかしちゃう,,いかしちまう,,いかし,,いかしなさい,,いかされる,いかされない,いかしたら,いかさなかったら,1912.0,任せる,まかせる
下がる,さがる,さがらない,さがった,さがらなかった,さがります,さがりません,さがりました,さがりません でした,さがれる,さがれない,さがって,さがらないで,さがれ,さがる な,さがろう,,さがれば,さがらなければ,さがらせる,さがらせない,さがっちゃう,,さがっちまう,,さがり,,さがりなさい,,さがられる,さがられない,さがったら,さがらなかったら,1928.0,掻く,かく
確かめる,たしかめる,たしかめない,たしかめた,たしかめなかった,たしかめます,たしかめません,たしかめました,たしかめません でした,たしかめられる,たしかめられない,たしかめて,たしかめないで,たしかめよ,たしかめる な,たしかめよう,,たしかめれば,たしかめなければ,たしかめさせる,たしかめさせない,たしかめちゃう,,たしかめちまう,,たしかめ,,たしかめなさい,,たしかめられる,たしかめられない,たしかめたら,たしかめなかったら,1947.0,戻す,もどす
鳴る,なる,ならない,なった,ならなかった,なります,なりません,なりました,なりません でした,なれる,なれない,なって,ならないで,なれ,なる な,なろう,,なれば,ならなければ,ならせる,ならせない,なっちゃう,,なっちまう,,なり,,なりなさい,,なられる,なられない,なったら,ならなかったら,1949.0,休む,やすむ
目立つ,めだつ,めだたない,めだった,めだたなかった,めだちます,めだちません,めだちました,めだちません でした,めだてる,めだてない,めだって,めだたないで,めだて,めだつ な,めだとう,,めだてば,めだたなければ,めだたせる,めだたせない,めだっちゃう,,めだっちまう,,めだち,,めだちなさい,,めだたれる,めだたれない,めだったら,めだたなかったら,1954.0,遅れる,おくれる
掲げる,かかげる,かかげない,かかげた,かかげなかった,かかげます,かかげません,かかげました,かかげません でした,かかげられる,かかげられない,かかげて,かかげないで,かかげよ,かかげる な,かかげよう,,かかげれば,かかげなければ,かかげさせる,かかげさせない,かかげちゃう,,かかげちまう,,かかげ,,かかげなさい,,かかげられる,かかげられない,かかげたら,かかげなかったら,1962.0,重ねる,かさねる
移す,うつす,うつさない,うつした,うつさなかった,うつします,うつしません,うつしました,うつしません でした,うつせる,うつせない,うつして,うつさないで,うつせ,うつす な,うつそう,,うつせば,うつさなければ,うつさせる,うつさせない,うつしちゃう,,うつしちまう,,うつし,,うつしなさい,,うつされる,うつされない,うつしたら,うつさなかったら,1964.0,足りる,たりる
並べる,ならべる,ならべない,ならべた,ならべなかった,ならべます,ならべません,ならべました,ならべません でした,ならべられる,ならべられない,ならべて,ならべないで,ならべよ,ならべる な,ならべよう,,ならべれば,ならべなければ,ならべさせる,ならべさせない,ならべちゃう,,ならべちまう,,ならべ,,ならべなさい,,ならべられる,ならべられない,ならべたら,ならべなかったら,1964.0,見なす,みなす
高める,たかめる,たかめない,たかめた,たかめなかった,たかめます,たかめません,たかめました,たかめません でした,たかめられる,たかめられない,たかめて,たかめないで,たかめよ,たかめる な,たかめよう,,たかめれば,たかめなければ,たかめさせる,たかめさせない,たかめちゃう,,たかめちまう,,たかめ,,たかめなさい,,たかめられる,たかめられない,たかめたら,たかめなかったら,1982.0,間違う,まちがう
奪う,うばう,うばわない,うばった,うばわなかった,うばいます,うばいません,うばいました,うばいません でした,うばえる,うばえない,うばって,うばわないで,うばえ,うばう な,うばおう,,うばえば,うばわなければ,うばわせる,うばわせない,うばっちゃう,,うばっちまう,,うばい,,うばいなさい,,うばわれる,うばわれない,うばったら,うばわなかったら,1982.0,閉じる,とじる
こうむる,こうむる,こうむらない,こうむった,こうむらなかった,こうむります,こうむりません,こうむりました,こうむりません でした,こうむれる,こうむれない,こうむって,こうむらないで,こうむれ,こうむる な,こうむろう,,こうむれば,こうむらなければ,こうむらせる,こうむらせない,こうむっちゃう,,こうむっちまう,,こうむり,,こうむりなさい,,こうむられる,こうむられない,こうむったら,こうむらなかったら,1987.0,保つ,たもつ
疑う,うたがう,うたがわない,うたがった,うたがわなかった,うたがいます,うたがいません,うたがいました,うたがいません でした,うたがえる,うたがえない,うたがって,うたがわないで,うたがえ,うたがう な,うたがおう,,うたがえば,うたがわなければ,うたがわせる,うたがわせない,うたがっちゃう,,うたがっちまう,,うたがい,,うたがいなさい,,うたがわれる,うたがわれない,うたがったら,うたがわなかったら,1993.0,吸う,すう
履く,はく,はかない,はいた,はかなかった,はきます,はきません,はきました,はきません でした,はける,はけない,はいて,はかないで,はけ,はく な,はこう,,はけば,はかなければ,はかせる,はかせない,はいちゃう,,はいちまう,,はき,,はきなさい,,はかれる,はかれない,はいたら,はかなかったら,2008.0,諦める,あきらめる
生み出す,うみだす,うみださない,うみだした,うみださなかった,うみだします,うみだしません,うみだしました,うみだしません でした,うみだせる,うみだせない,うみだして,うみださないで,うみだせ,うみだす な,うみだそう,,うみだせば,うみださなければ,うみださせる,うみださせない,うみだしちゃう,,うみだしちまう,,うみだし,,うみだしなさい,,うみだされる,うみだされない,うみだしたら,うみださなかったら,2008.0,耐える,たえる
迷う,まよう,まよわない,まよった,まよわなかった,まよいます,まよいません,まよいました,まよいません でした,まよえる,まよえない,まよって,まよわないで,まよえ,まよう な,まよおう,,まよえば,まよわなければ,まよわせる,まよわせない,まよっちゃう,,まよっちまう,,まよい,,まよいなさい,,まよわれる,まよわれない,まよったら,まよわなかったら,2010.0,訪ねる,たずねる
