phrases
I thought you were
going to take
I’m waiting for
I’m just waiting for
Come on in
Come in
Says
How are you and
How are you doing
Today you have to
Next time
This is a
What are we doing
Which is where we
Buy
From
Wait in
Wait in the
I think im
I think im going to
What are you talking about
What are you
Want
What about this
What about
Look like
To look like
Do you have to
Have to
Hold this
While I
While
While you
I would
To go
Actually I
Stuck in
Touch
It
Open
That
Did not
All I did
There is
Come out
Of
What is the
I was thinking
After lunch
Can I
Talk to me
Talk to
How many
Have you
Can I try
To talk
Everything into
Maybe
Want to buy
Time to go
It is
Such a
Why don’t you
Want to
Im not
That’s ok
Way to talk
Did you have
Talk about it
Next week
Tomorrow
Little accident
Is a little
Ran over
The time
Kind of like
Are you
I have seen
Too hard
Maybe
Makes me feel
Make me feel
Not my
Was there
Found
This is called
What is this
Want you to know
A good
For
The greatest
Store
Picture
Always wanted
Most afraid
Phone ringing
Too much
What about the
What about
Losing
Did you find
Found
I found
I found your
Because
We have
No idea
Excited
Excited about
Expensive
What if it is
What if its
Why don’t you
Go
It seems
They were
What if
Why do you think
Gives me
Come over here
Let me
Dinner
Breakfast
We are like
We’re like
Never want
A lot of
Just say
Likes to
Get your
As long as
This is what
When you
That was
They have a
Did you
Said
Wouldnt be
For the first
We are being
You seem like
I want
I want you to
Are you going to
Did I ever tell
You tell me
Something is
Going on
That’s why
Afraid to
Youre not going to
Im not
Don’t know how
Someone will
Somebody will
Same thing
Run
Can’t believe
Lost
There could be
Do you think
Going
I think im
There are
Born in
Didnt want
Listen to
Isnt always
Does that
Could you
Get it
Go get it
I am
It was
It was the
Afraid of
Everybody is
Those are
Will they
Don’t always
There is
In the
Was in the
It could be
Used to be
Why is it so
It is so
Struggles with
Back in
Will be back
Its a
Are you wearing
This will be
I met
Im here for
We were just
Does have
Before
A little
Look at
Couldnt be
That’s a
Want to watch
Is there a
This is
This is so
How could
How could I
Here’s my
Don’t say
Come from
Must
Like
You are
You are a
Being who
After that
Talked to
Giving
Maybe
Ran into
Says
Going to finish
In the
Would you
Why would you
Do that
I had a
Go to
Have an
Have a
If
Know what
The same
Buy a new
Teach
Use the
To use the
Wear
Don’t know
How they
The problem
If you don’t
Choose
Watch
I watch
On my
Do it
All I can
Talking about
If you werent
Would be
Would be better
Back to
See what
See what im saying
Here to
Let you know
Its ok to
I got a
Don’t worry
Im sure you
What do you
Going to be
You know I
How much
Need you to
Why can’t
Because we
Sometimes that’s
I got you
Im still
Go ahead
Look at how
Why is there
This is so
Never want
Can’t tell if
Hard to tell
Just a few
Would like to
Still coming
Which they
They don’t really
Everytime I
I can’t wait
Didnt they
Who could
What are you
Look at
Likes that
There are
Never going to
I would be
Do you have
going to
we are here
are here
are here now
why dont you
wanted to
are you going
how many
who knows
give you
